time,Azimuth,Pitch,Roll
0.062517,85.028,8.783,1.139
0.062654,86.129,8.202,0.713
0.062745,85.046,8.812,0.914
0.062812,85.098,8.737,1.167
0.062895,84.887,8.865,1.140
0.062986,84.908,8.846,1.180
0.063070,85.009,8.804,1.081
0.063164,85.059,8.772,1.095
0.063249,85.112,8.712,1.265
0.083192,84.188,8.712,1.265
0.083273,84.188,8.712,1.265
0.245952,84.284,8.665,1.223
0.246106,84.047,8.798,1.236
0.246214,84.109,8.794,1.069
0.246632,84.281,8.704,1.022
0.246765,84.227,8.697,1.224
0.246895,84.134,8.758,1.184
0.247008,84.120,8.772,1.151
0.247237,84.241,8.716,1.082
0.247363,84.019,8.830,1.152
0.263872,84.019,8.830,1.152
0.282418,82.655,8.830,1.152
0.422826,82.746,8.797,1.053
0.423028,82.757,8.781,1.096
0.423142,82.678,8.823,1.124
0.423268,82.818,8.741,1.110
0.423374,82.726,8.796,1.112
0.423473,82.739,8.773,1.182
0.423668,82.683,8.803,1.196
0.423846,82.501,8.928,1.125
0.424026,82.912,8.691,1.081
0.445675,82.912,8.691,1.081
0.482189,82.930,8.691,1.081
0.605545,82.783,8.757,1.167
0.605877,82.686,8.804,1.209
0.607249,82.806,8.736,1.207
0.607720,82.757,8.775,1.154
0.608323,82.702,8.804,1.166
0.608604,82.673,8.827,1.139
0.608961,82.647,8.827,1.210
0.609200,82.778,8.757,1.182
0.609820,82.720,8.800,1.137
0.638596,82.720,8.800,1.137
0.689526,81.935,8.800,1.137
0.789121,81.838,8.844,1.194
0.789826,81.963,8.786,1.127
0.790592,81.992,8.767,1.138
0.792202,81.798,8.860,1.221
0.792743,81.951,8.777,1.197
0.792990,81.963,8.758,1.251
0.794426,81.888,8.807,1.226
0.795079,81.968,8.781,1.138
0.795731,81.967,8.756,1.251
0.812281,81.967,8.756,1.251
0.884073,83.060,8.756,1.251
0.972248,83.030,8.801,1.111
0.972478,83.119,8.747,1.138
0.972733,83.132,8.736,1.154
0.972876,83.045,8.779,1.181
0.972985,83.055,8.779,1.152
0.973096,83.134,8.729,1.182
0.973211,83.155,8.695,1.295
0.973448,83.004,8.801,1.182
0.973553,82.952,8.830,1.180
0.984885,82.952,8.830,1.180
1.087438,82.171,8.830,1.180
1.157963,82.422,8.692,1.154
1.161333,82.260,8.794,1.112
1.161621,82.255,8.803,1.083
1.162545,82.392,8.704,1.178
1.163199,82.290,8.770,1.141
1.163649,82.128,8.863,1.140
1.164148,82.382,8.727,1.096
1.164366,82.378,8.711,1.181
1.164556,82.202,8.805,1.211
1.164741,82.202,8.805,1.211
1.287148,83.975,8.805,1.211
1.348800,84.115,8.743,1.107
1.349264,83.997,8.806,1.138
1.349719,84.008,8.806,1.111
1.350108,84.290,8.632,1.153
1.350914,84.006,8.810,1.094
1.351139,83.952,8.839,1.110
1.351284,84.120,8.732,1.153
1.351457,84.075,8.755,1.167
1.351582,83.863,8.863,1.254
1.351854,83.863,8.863,1.254
1.490772,83.116,8.863,1.254
1.505680,83.183,8.855,1.110
1.505960,83.392,8.726,1.151
1.506440,83.397,8.723,1.152
1.506669,83.544,8.637,1.164
1.507009,83.286,8.784,1.165
1.507164,83.251,8.818,1.095
1.507319,83.393,8.722,1.168
1.507646,83.311,8.781,1.110
1.507783,83.252,8.803,1.168
1.524421,83.252,8.803,1.168
1.688991,83.322,8.786,1.052
1.689525,83.430,8.786,1.052
1.689728,83.444,8.744,1.223
1.690000,83.298,8.848,1.124
1.690452,83.413,8.765,1.209
1.690617,83.442,8.751,1.195
1.690924,83.279,8.847,1.183
1.691078,83.285,8.841,1.194
1.691242,83.608,8.675,1.095
1.691497,83.584,8.668,1.197
1.705665,83.584,8.668,1.197
1.873195,83.320,8.815,1.225
1.873428,83.430,8.783,1.067
1.873778,83.664,8.631,1.151
1.873948,83.533,8.724,1.065
1.874221,83.463,8.730,1.237
1.874683,83.183,8.894,1.224
1.874934,83.296,8.844,1.152
1.875121,83.450,8.734,1.252
1.875455,83.394,8.805,1.067
1.891508,82.736,8.805,1.067
1.891702,82.736,8.805,1.067
2.044427,82.757,8.783,1.110
2.044954,82.674,8.814,1.194
2.045508,82.593,8.874,1.138
2.045871,82.811,8.751,1.110
2.046598,82.735,8.781,1.181
2.046980,82.692,8.809,1.165
2.047219,82.846,8.739,1.067
2.047428,82.796,8.754,1.137
2.047796,82.710,8.801,1.153
2.073818,82.710,8.801,1.153
2.092877,83.387,8.801,1.153
2.225377,83.290,8.840,1.224
2.225675,83.402,8.773,1.253
2.226392,83.576,8.700,1.139
2.226718,83.588,8.693,1.138
2.228481,83.365,8.811,1.167
2.229377,83.454,8.767,1.138
2.229879,83.504,8.723,1.223
2.231124,83.347,8.815,1.196
2.231455,83.474,8.753,1.153
2.244937,83.474,8.753,1.153
2.295007,83.624,8.753,1.153
2.408890,83.539,8.800,1.166
2.409482,83.358,8.897,1.208
2.409765,83.522,8.818,1.124
2.409961,83.548,8.786,1.208
2.410125,83.577,8.778,1.168
2.410455,83.477,8.842,1.137
2.410629,83.600,8.764,1.168
2.412886,83.472,8.824,1.238
2.413276,83.649,8.739,1.149
2.425241,83.649,8.739,1.149
2.493093,85.402,8.739,1.149
2.590135,85.206,8.846,1.184
2.590588,85.377,8.743,1.210
2.590901,85.368,8.749,1.209
2.591094,85.349,8.769,1.153
2.591293,85.373,8.755,1.153
2.591481,85.268,8.816,1.152
2.591686,85.355,8.776,1.093
2.591944,85.394,8.741,1.163
2.592867,85.530,8.670,1.124
2.608986,85.530,8.670,1.124
2.691191,83.234,8.670,1.124
2.762952,83.081,8.752,1.151
2.763152,83.193,8.678,1.196
2.763885,83.052,8.765,1.167
2.764261,82.853,8.873,1.196
2.765350,83.059,8.764,1.154
2.765895,82.955,8.805,1.239
2.766092,82.899,8.874,1.067
2.766450,83.157,8.705,1.166
2.766623,83.117,8.736,1.126
2.788704,83.117,8.736,1.126
2.893869,81.488,8.736,1.126
2.943079,81.493,8.734,1.122
2.943888,81.525,8.729,1.066
2.944531,81.345,8.790,1.237
2.945068,81.352,8.823,1.081
2.946914,81.438,8.734,1.252
2.947860,81.544,8.705,1.123
2.949583,81.430,8.766,1.136
2.950448,81.504,8.714,1.180
2.951254,81.616,8.668,1.110
2.984740,81.616,8.668,1.110
3.091916,84.070,8.668,1.110
3.127514,83.740,8.831,1.268
3.128031,83.775,8.842,1.109
3.128248,83.903,8.757,1.153
3.128456,83.860,8.775,1.193
